,	,
.	.		
n'	CC	PREP	V
mu	PREP		
ko	C		
ngo	C		
muri	PREP	V	
...	...
?	?		
@:			
ku	PREP		
abantu	N		
ari	V		
ariko	CC		
na	CC	PREP	
hari	V		
ni	V	
bari	V	
aho	DT	
uko	DT	
nk'	CC	PREP
nta	ADV	
kuko	CC	
y'	PREP	
;	;	
umuntu	N	
ati	V	
rero	ADV	
yari	V	
"@	"		
cyane	ADV	
icyo	DT	
ubwo	DT
ntabwo	ADV
ibyo	DT
-LRB-	-LRB-
-RRB-	-RRB-
"@"""	
ya	PREP
nti	V
gihe	N
noneho	ADV
iyo	DT
kuri	V
Ariko	CC
abandi	N
Ubwo	DT
kandi	CC
kwa	PREP
se	ADV
nari	V
uwo	DT
wa	PREP
ibintu	N
no	CC
i	PREP
iki	N
we	N
bose	DT
ahantu	N
wanjye	ADJ
abo	DT
twari	V
Noneho	ADV
mbere	ADV
nawe	CC
hano	ADV
abana	N
mbese	ADV
kuba	V
cyangwa	CC
ikintu	N
Kuko	CC
byose	DT
w'	PREP
igihe	N
ukuntu	N
nyine	ADV
wenda	V
bati	V
niba	V	
nibwo	V	
wari	V	
ndi	V	
ubu	DT	
ba	DT	PREP
kubera	CC	
njyewe	N	
numva	V	
neza	ADJ	
hariya	DT	
umwe	DT	
bantu	N	
benshi	ADJ	
kugirango	CC	
ukuri	N	
aba	DT	
by'	PREP	
nyuma	ADV	
umwana	N	
Rwanda	N	
za	PREP	
!	!	
nabo	CC	
rugo	N	
nanjye	CC	
Ni	V	
yo	PREP	
nka	CC	PREP
muntu	N	
mirongo	N	
abatutsi	N	
kintu	N
bo	PREP
kuvuga	V
afite	V
cy'	PREP
gusa	ADV
itariki	N
yuko	CC
turi	V
nko	CC
ubuzima	N
interahamwe	N
undi	ADJ
mbona	V
famille	N
umugabo	N
mfite	V
kugira	V
Imana	N
uri	V
mama	N
st	N
gute	ADV
harimo	V
Jenoside	N
wowe	N
ahongaho	V
bagiye	V
ubundi	ADV
munsi	N
byo	PREP
kumwe	ADV
cya	PREP
cyo	PREP
uyu	DT
bafite	V
imbere	N
buryo	DT
mukuru	N
z'	PREP
Hari	V
bavuga	V
ngiye	V
ngaho	ADV
iwacu	N
jyewe	N
baje	ADJ
b'	PREP
kane	ADJ
kujya	V
intambara	N
sinzi	V
aha	DT
Icyo	DT
wawe	N
reka	ADV
saa	PREP
gutyo	DT
gutya	DT
ikibazo	N
«	"
bamaze	V
niho	V
njye	N
inyuma	ADV	
ukuvuga	N	
papa	N	
bintu	N	
kugenda	V	
rwose	DT	
niwe	V	
ndetse	V	
N'	V	PREP
witwa	V	
ahangaha	V	
cumi	ADJ	
byari	V	
Ati	V	
buri	DT	
imyaka	N	
arambwira	V
Kandi	CC
aribyo	V
hanze	ADV
wo	PREP
mugabo	N
kuza	V
ubona	V
njya	N
»	"
kubona	V
buzima	V
gupfa	V
ufite	V
kumva	V
hafi	ADV
none	ADV
barimo	V
Mu	PREP
umuryango	N
kibazo	N
bana	N
urumva	V
kwica	V
umututsi	N
koko	C
iminsi	N
u	PREP
icyenda	ADJ
ahubwo	CC
Nti	V
bamwe	ADJ
numvaga	V
nzi	V
kabiri	ADJ
baba	DT
umugore	N
banjye	ADJ
bw'	PREP
hagati	ADV
abanyarwanda	N
ndavuga	V
ubwoba	N
niko	V
nzu	N
nabi	ADJ
baza	V
inka	N
Ku	PREP
ngirango	CC
wumva	V
Ntabwo	ADV
aravuga	V
ukwezi	N
Ibyo	DT
mwana	N
ho	ADV
ahari	V
hose	DT
hasi	V
bita	V
ubungubu	N
Nuko	CC
bwa	PREP
uburyo	N
ishuri	N
niyo	ADV
Nta	ADV
kimwe	ADJ
inkotanyi	N
munyakazi	N
akaba	V
igihugu	N
ibibazo	N
bimeze	V
jye	N
nuko	ADV
kugeza	V
muryango	N
bapfuye	V
twebwe	N
ese	ADV
bajya	V
cyenda	ADJ
kuva	V
ariho	ADV
Ngo	C
imbunda	N
gukora	V
kugera	V
ntago	
dufite	V
wacu	ADJ
hamwe	ADJ
abaturage	N
imbabazi	N
k'	PREP	
hantu	N	
bwanjye	DT	
icyaha	N	
nubwo	CC	
navuga	V	
zari	V	
kera	V	
ababyeyi	N	
ye	PREP	
Muri	PREP	V
bya	PREP	
musaza	N	
Iyo	DT	
nkumva	V	
ikindi	N	
babiri	ADJ
wese	ADJ
ma	N
ntacyo	ADV
naho	V
"@""@"	
icumu	N
bwo	PREP
ubuhamya	N
..	.  ...
nibo	V
hejuru	ADV
ndumva	V
kureba	V
Hanyuma	ADV
leta	V
rimwe	ADJ
uzi	V
inzu	N
karindwi	ADJ
gacaca	N
nkaba	V
byinshi	DT
Kigali	N
kwiga	V
kubaho	V
abahutu	N
mpita	V
uti	V
he	ADV
nibyo	V
Habyarimana	N
yapfuye	V
Abatutsi	N
iyi	DT
Nibwo	V
gatatu	ADJ
hirya	PREP
yose	DT
ibindi	N
byagenze	V
rw'	PREP
saint	N
avuga	V
ndagenda	V
inama	N
itatu	ADJ
ka	DT
izo	DT	
ndamubwira	V	
uruhare	N	
byabaye	V	
bagenda	V	
maze	V	
ako	DT	
Nyuma	ADV	PREP
Eh	ADV	
%% After 0:30
kumenya	V	
Abo	DT	
tugiye	V	
1994	N	
ejo	ADV
hanyuma	ADV
imwe	ADJ
uriya	DT
yabo	PREP
paul	N
nkuko	PREP
tuti	V
ahita	V
padiri	N
abari	V
imodoka	N
umukobwa	N
nzira	V
"	"	
twese	DT
bishe	V
abasirikare	V
baraza	V
yaje	V
ushobora	V
yaba	V
bawe	PREP
muhanda	N
Interahamwe	N
kwezi	N
umunsi	N
nicyo	V
Njyewe	N
be	DT
umutima	N
baravuga	V
natwe	CC
makumyabiri	ADJ
ngira	V
nza	V
amaze	V
nkabona	V
amazina	N
yagiye	V
Ese	ADV
gatandatu	ADJ
tujya	V
zo	PREP
yabaye	V
mutwe	N
nabonye	V
urebye	V
waba	V
yanjye	DT
major	N
witwaga	V
gihugu	N
ngubwo	V
nabyo	CC
ubutegetsi	N
None	ADV
hashize	ADV
Kubera	V
kindi	N
Ndamubwira	V
hariho	V
amakuru	N
ibi	DT
jenocide	N
bwawe	DT
Abantu	N
ntawe	ADJ
itanu	ADJ
igitero	N
atari	V
urwanda	N
duturanye	V
Inkotanyi	N
umuhutu	N
rwa	PREP
ubwoko	N
babaga	V
bacu	DT
impamvu	N
bigeze	V
Yee	ADV
abajandarume	N
nshobora	V
Mbese	ADV
bakajya	V
nagirango	V
Urumva	V
twumva	V
ute	ADV
wabo	DT
mba	N
nagiye	V
aza	DT
bashobora	V
cyose	DT
hehe	ADV
wundi	ADJ
nyinshi	ADJ
bariya	V
batangiye	V
ibyabaye	V
tuba	V
yitwaga	V
Uwo	DT
bahita	V
tuvuge	V
inshuti	N
gato	ADJ
MRND	N
Ndavuga	V
genocide	N
ajya	V
gitondo	N
ahandi	N
génocide	N
kundi	ADV
si	ADV
tugeze	V
ariwe	V
Mama	N
cyari	V
modoka	N
ibiri	ADJ
make	ADJ
ayo	DT
nibuka	V
ngewe	V
bitaga	V	
I	PREP	
tubona	V	
colonel	N	
ijambo	N	
amaraso	N	
hepfo	V	
Nk'	PREP	CC
Numva	V	
gatoya	V	
azi	V	
mwari	V	
mille	N	
Papa	N	
gouvernement	N	
uwitwa	V	
amasasu	N
bazi	V
mushiki	N
kanya	V
nsanga	V
Ko	C
bashaka	V
byiza	ADJ
haza	V
ubwenge	N
burya	V
akazi	N
naje	V
ugasanga	V
ugiye	V
hakurya	V
kanaka	N
bishoboka	V
nshaka	V
kubica	V
mpamvu	N
Arambwira	V
ukabona	V
umuhungu	N
uba	V
kumi	ADJ
ntambara	V
rya	PREP
umunani	ADJ
nabwo	CC
murugo	ADV
Bati	V
amazi	N
mutima	N
